date,nav,scheme_name,scheme_code
03-01-2018,3564.95310,HDFC Money Market Fund - Growth Option - Direct Plan,119092
02-01-2018,3564.33980,HDFC Money Market Fund - Growth Option - Direct Plan,119092
01-01-2018,3563.72270,HDFC Money Market Fund - Growth Option - Direct Plan,119092
31-12-2017,3563.03940,HDFC Money Market Fund - Growth Option - Direct Plan,119092
29-12-2017,3561.76740,HDFC Money Market Fund - Growth Option - Direct Plan,119092
28-12-2017,3560.98470,HDFC Money Market Fund - Growth Option - Direct Plan,119092
27-12-2017,3560.32130,HDFC Money Market Fund - Growth Option - Direct Plan,119092
26-12-2017,3559.68420,HDFC Money Market Fund - Growth Option - Direct Plan,119092
25-12-2017,3559.09870,HDFC Money Market Fund - Growth Option - Direct Plan,119092
22-12-2017,3557.22660,HDFC Money Market Fund - Growth Option - Direct Plan,119092
21-12-2017,3556.57460,HDFC Money Market Fund - Growth Option - Direct Plan,119092
20-12-2017,3556.02880,HDFC Money Market Fund - Growth Option - Direct Plan,119092
19-12-2017,3555.49960,HDFC Money Market Fund - Growth Option - Direct Plan,119092
18-12-2017,3554.89940,HDFC Money Market Fund - Growth Option - Direct Plan,119092
17-12-2017,3554.29680,HDFC Money Market Fund - Growth Option - Direct Plan,119092
15-12-2017,3553.07790,HDFC Money Market Fund - Growth Option - Direct Plan,119092
14-12-2017,3552.49950,HDFC Money Market Fund - Growth Option - Direct Plan,119092
13-12-2017,3551.91140,HDFC Money Market Fund - Growth Option - Direct Plan,119092
12-12-2017,3551.30860,HDFC Money Market Fund - Growth Option - Direct Plan,119092
11-12-2017,3550.71040,HDFC Money Market Fund - Growth Option - Direct Plan,119092
10-12-2017,3550.10240,HDFC Money Market Fund - Growth Option - Direct Plan,119092
08-12-2017,3548.85890,HDFC Money Market Fund - Growth Option - Direct Plan,119092
07-12-2017,3548.23440,HDFC Money Market Fund - Growth Option - Direct Plan,119092
06-12-2017,3547.59980,HDFC Money Market Fund - Growth Option - Direct Plan,119092
05-12-2017,3546.98820,HDFC Money Market Fund - Growth Option - Direct Plan,119092
04-12-2017,3546.39970,HDFC Money Market Fund - Growth Option - Direct Plan,119092
03-12-2017,3545.78680,HDFC Money Market Fund - Growth Option - Direct Plan,119092
30-11-2017,3543.96930,HDFC Money Market Fund - Growth Option - Direct Plan,119092
29-11-2017,3543.37190,HDFC Money Market Fund - Growth Option - Direct Plan,119092
28-11-2017,3542.76410,HDFC Money Market Fund - Growth Option - Direct Plan,119092
