date,nav,scheme_name,scheme_code
23-06-2022,118.06990,quant Mid Cap Fund - Growth Option - Direct Plan,120841
22-06-2022,116.65600,quant Mid Cap Fund - Growth Option - Direct Plan,120841
21-06-2022,119.12330,quant Mid Cap Fund - Growth Option - Direct Plan,120841
20-06-2022,115.45940,quant Mid Cap Fund - Growth Option - Direct Plan,120841
17-06-2022,117.28600,quant Mid Cap Fund - Growth Option - Direct Plan,120841
16-06-2022,117.86470,quant Mid Cap Fund - Growth Option - Direct Plan,120841
15-06-2022,120.98350,quant Mid Cap Fund - Growth Option - Direct Plan,120841
14-06-2022,121.49340,quant Mid Cap Fund - Growth Option - Direct Plan,120841
13-06-2022,121.50620,quant Mid Cap Fund - Growth Option - Direct Plan,120841
10-06-2022,125.70570,quant Mid Cap Fund - Growth Option - Direct Plan,120841
09-06-2022,126.41980,quant Mid Cap Fund - Growth Option - Direct Plan,120841
08-06-2022,125.60390,quant Mid Cap Fund - Growth Option - Direct Plan,120841
07-06-2022,126.17560,quant Mid Cap Fund - Growth Option - Direct Plan,120841
06-06-2022,126.80110,quant Mid Cap Fund - Growth Option - Direct Plan,120841
03-06-2022,127.14360,quant Mid Cap Fund - Growth Option - Direct Plan,120841
02-06-2022,128.93050,quant Mid Cap Fund - Growth Option - Direct Plan,120841
01-06-2022,127.75550,quant Mid Cap Fund - Growth Option - Direct Plan,120841
31-05-2022,127.66610,quant Mid Cap Fund - Growth Option - Direct Plan,120841
30-05-2022,128.30990,quant Mid Cap Fund - Growth Option - Direct Plan,120841
27-05-2022,125.36690,quant Mid Cap Fund - Growth Option - Direct Plan,120841
26-05-2022,123.73390,quant Mid Cap Fund - Growth Option - Direct Plan,120841
25-05-2022,122.49120,quant Mid Cap Fund - Growth Option - Direct Plan,120841
24-05-2022,125.06770,quant Mid Cap Fund - Growth Option - Direct Plan,120841
23-05-2022,126.55240,quant Mid Cap Fund - Growth Option - Direct Plan,120841
20-05-2022,127.51410,quant Mid Cap Fund - Growth Option - Direct Plan,120841
19-05-2022,123.90270,quant Mid Cap Fund - Growth Option - Direct Plan,120841
18-05-2022,127.11440,quant Mid Cap Fund - Growth Option - Direct Plan,120841
17-05-2022,126.96140,quant Mid Cap Fund - Growth Option - Direct Plan,120841
16-05-2022,123.26960,quant Mid Cap Fund - Growth Option - Direct Plan,120841
13-05-2022,120.74550,quant Mid Cap Fund - Growth Option - Direct Plan,120841
12-05-2022,120.11960,quant Mid Cap Fund - Growth Option - Direct Plan,120841
11-05-2022,122.66520,quant Mid Cap Fund - Growth Option - Direct Plan,120841
10-05-2022,124.59860,quant Mid Cap Fund - Growth Option - Direct Plan,120841
09-05-2022,127.11310,quant Mid Cap Fund - Growth Option - Direct Plan,120841
06-05-2022,129.57220,quant Mid Cap Fund - Growth Option - Direct Plan,120841
05-05-2022,130.96870,quant Mid Cap Fund - Growth Option - Direct Plan,120841
04-05-2022,130.57760,quant Mid Cap Fund - Growth Option - Direct Plan,120841
02-05-2022,135.12520,quant Mid Cap Fund - Growth Option - Direct Plan,120841
29-04-2022,135.42380,quant Mid Cap Fund - Growth Option - Direct Plan,120841
28-04-2022,136.14670,quant Mid Cap Fund - Growth Option - Direct Plan,120841
27-04-2022,135.48550,quant Mid Cap Fund - Growth Option - Direct Plan,120841
26-04-2022,135.92780,quant Mid Cap Fund - Growth Option - Direct Plan,120841
25-04-2022,133.37530,quant Mid Cap Fund - Growth Option - Direct Plan,120841
22-04-2022,136.70780,quant Mid Cap Fund - Growth Option - Direct Plan,120841
21-04-2022,138.08410,quant Mid Cap Fund - Growth Option - Direct Plan,120841
20-04-2022,136.04070,quant Mid Cap Fund - Growth Option - Direct Plan,120841
19-04-2022,136.21500,quant Mid Cap Fund - Growth Option - Direct Plan,120841
18-04-2022,138.41530,quant Mid Cap Fund - Growth Option - Direct Plan,120841
13-04-2022,139.54620,quant Mid Cap Fund - Growth Option - Direct Plan,120841
12-04-2022,140.06600,quant Mid Cap Fund - Growth Option - Direct Plan,120841
11-04-2022,141.74200,quant Mid Cap Fund - Growth Option - Direct Plan,120841
08-04-2022,141.30350,quant Mid Cap Fund - Growth Option - Direct Plan,120841
07-04-2022,138.73430,quant Mid Cap Fund - Growth Option - Direct Plan,120841
06-04-2022,139.28680,quant Mid Cap Fund - Growth Option - Direct Plan,120841
05-04-2022,138.39600,quant Mid Cap Fund - Growth Option - Direct Plan,120841
04-04-2022,138.17570,quant Mid Cap Fund - Growth Option - Direct Plan,120841
01-04-2022,137.16960,quant Mid Cap Fund - Growth Option - Direct Plan,120841
31-03-2022,135.68360,quant Mid Cap Fund - Growth Option - Direct Plan,120841
30-03-2022,134.32130,quant Mid Cap Fund - Growth Option - Direct Plan,120841
29-03-2022,132.71460,quant Mid Cap Fund - Growth Option - Direct Plan,120841
