date,nav,scheme_name,scheme_code
09-02-2015,30.23650,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
06-02-2015,30.57130,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
05-02-2015,30.88050,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
04-02-2015,30.88190,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
03-02-2015,31.12230,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
02-02-2015,31.32090,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
30-01-2015,31.25530,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
29-01-2015,31.56770,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
28-01-2015,31.67080,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
27-01-2015,31.70960,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
23-01-2015,31.29090,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
22-01-2015,31.15370,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
21-01-2015,31.12530,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
20-01-2015,31.08590,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
19-01-2015,30.95490,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
16-01-2015,30.81470,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
15-01-2015,30.61780,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
14-01-2015,30.18170,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
13-01-2015,30.05810,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
12-01-2015,30.03420,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
09-01-2015,29.82060,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
08-01-2015,29.70280,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
07-01-2015,29.27480,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
06-01-2015,29.26770,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
05-01-2015,29.98410,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
02-01-2015,29.98720,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
01-01-2015,29.57610,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
31-12-2014,29.42760,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
30-12-2014,29.19870,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
29-12-2014,29.08450,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
26-12-2014,28.83590,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
24-12-2014,28.70470,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
23-12-2014,28.92680,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
22-12-2014,29.01770,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
19-12-2014,28.79400,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
18-12-2014,28.65290,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,120503
